English,Telugu,Swahili,Hindi,Arabic
Hold some pressure here to stop the bleeding.,రక్తస్రావాన్ని ఆపడానికి ఇక్కడ కొంత ఒత్తిడిని పెట్టండి,Weka shinikizo hapa ili kuzuia kutokwa na damu.,रक्तस्राव को रोकने के लिए यहां कुछ दबाव रखें।,امسك بعض الضغط هنا لوقف النزيف.
I'm going to send you for an x-ray/MRI/CT scan.,మీకు x-ray/MRI/CT స్కాన్ చేయబోతున్నాను ,Nitakutumia kwa skana ya x-ray / MRI / CT.,मैं आपको एक्स-रे/ एमआरआई / सीटी स्कैन के लिए भेजने जा रहा हूं।,سأرسل لك الأشعة السينية / التصوير بالرنين المغناطيسي / التصوير المقطعي المحوسب.
Please change into this gown for the exam.,పరీక్ష కోసం ఈ గౌన్‌లోకి మారండి,Tafadhali badilisha kuwa gown hii kwa mtihani.,कृपया परीक्षा के लिए इस गाउन में बदलें।,يرجى ارتداء هذا الثوب للامتحان.
Are you sexually active?,మీరు లైంగికంగా క్రియాశీలకంగా ఉన్నారా?,"Je, wewe ni wa ngono?",क्या आप यौन रूप से सक्रिय हैं?,هل أنت نشط جنسيا؟
When was your last menstrual period?,మీకు చివరి మాసిక సంచారం ఎప్పుడు వచ్చింది?,Kipindi chako cha mwisho cha hedhi kilikuwa lini?,आपका अंतिम मासिक धर्म कब था?,متى كانت آخر دورة شهرية لك؟
Could you be pregnant?,మీరు గర్భవతి అవ్వగలరా?,"Je, unaweza kuwa na mimba?",क्या आप गर्भवती हो सकती हैं?,هل يمكن أن تكوني حاملا؟
Tell me if you feel any pain/tenderness.,ఏవైనా నొప్పి / బలహీనత అనిపిస్తే నాకు తెలియజేయండి.,Niambie ikiwa unahisi maumivu yoyote / huruma.,मुझे बताएं कि क्या आपको कोई दर्द / कोमलता महसूस होती है।,قل لي إذا كنت تشعر بأي ألم / حنان.
When was your last menstrual period?,మీకు చివరిసారి మాసిక సంచారం ఎప్పుడు వచ్చింది?,Kipindi chako cha mwisho cha hedhi kilikuwa lini?,आपका अंतिम मासिक धर्म कब था?,متى كانت آخر دورة شهرية لك؟
I'm having trouble concentrating.," ""నాకు దృష్టి కేంద్రీకరించడంలో ఇబ్బంది ఉంది.""",Nina matatizo ya kuzingatia.,मुझे ध्यान केंद्रित करने में परेशानी हो रही है।,أواجه مشكلة في التركيز.
I have a sore throat.," ""నాకు గొంతు నొప్పి ఉంది.""",Nimefura koo.,मेरा गला खराब है।,لديً التهاب في الحلق.
I have a muscle pain.," ""నాకు కండరాల నొప్పి ఉంది.""",Nina maumivu ya misuli.,मुझे मांसपेशियों में दर्द है।,لدي ألم في العضلات.
I have a headache.," ""నాకు తలనొప్పి ఉంది.""",Nina maumivu ya kichwa.,मेरे सिर में दर्द है।,لديّ صداع.
I have a fever.," ""నాకు జ్వరం ఉంది.""",Nina homa.,मुझे बुख़ार है।,لديّ حمى.
I have a runny nose.," ""నా ముక్కు నుండి నీరు కారుతోంది.""",Nina pua ya runny.,मेरी नाक बहती है।,لدي سيلان الأنف.
What is your age?,మీ వయస్సు ఎంత?,Una umri gani?,तुम्हारी उम्र क्या है?,كم تبلغ من العمر؟
What is your height?,మీ ఎత్తు ఎంత?,Urefu wako ni nini?,आपकी ऊंचाई क्या है?,ما هو طولك؟
Apply warm compresses to the area for pain relief.,నొప్పి ఉపశమనం కోసం ఆ ప్రాంతానికి వెచ్చని కాపు కాయడం,Tumia compresses joto kwa eneo kwa ajili ya misaada ya maumivu.,दर्द से राहत के लिए क्षेत्र में गर्म संपीड़न लागू करें।,ضع كمادات دافئة على المنطقة لتخفيف الآلام.
Elevate your leg above heart level to reduce swelling.,అధిక నీరు తగ్గించుకోవడానికి మీ కాలును గుండె కంటే ఎత్తుకు పెట్టండి.,Inua mguu wako juu ya kiwango cha moyo ili kupunguza uvimbe.,सूजन को कम करने के लिए अपने पैर को हृदय स्तर से ऊपर उठाएं।,ارفع ساقك فوق مستوى القلب لتقليل التورم.
Use crutches to avoid putting weight on your injured leg.,గాయపడిన కాలుపై బరువు పడకుండా ఉండేందుకు క్రచులను ఉపయోగించండి.,Tumia crutches ili kuepuka kuweka uzito kwenye mguu wako uliojeruhiwa.,अपने घायल पैर पर वजन डालने से बचने के लिए बैसाखी का उपयोग करें।,استخدم العكازات لتجنب وضع الوزن على ساقك المصابة.
Wear this sling to keep your arm immobile.,మీ చేతిని అచలంగా ఉంచేందుకు ఈ స్లింగ్ ధరించండి.,Vaa kombeo hili ili kuweka mkono wako kuwa na nguvu.,अपनी बांह को स्थिर रखने के लिए इस स्लिंग को पहनें।,ارتد هذه الحمالة للحفاظ على ذراعك غير متحركة.
Keep the wound clean and change the dressing regularly.,"గాయాన్ని పరిశుభ్రంగా ఉంచి, నియమితంగా డ్రెసింగ్ మార్చుతూ ఉండండి.",Weka kidonda safi na ubadilishe mavazi mara kwa mara.,घाव को साफ रखें और नियमित रूप से ड्रेसिंग बदलें।,حافظ على نظافة الجرح وقم بتغيير الضمادة بانتظام.
Come back in 3 months for a follow-up visit.,తదుపరి సందర్శన కోసం 3 నెలల తర్వాత తిరిగి రండి ,Rudi ndani ya miezi 3 kwa ziara ya kufuatilia.,फॉलो-अप यात्रा के लिए 3 महीने में वापस आएं।,عد في غضون 3 أشهر لزيارة متابعة.
Make sure to schedule that colonoscopy I recommended.,నేను సూచించిన ఆ కోలోనోస్కోపీని షెడ్యూల్ చేసుకోవడం ఖచ్చితంగా చూడండి.,Hakikisha kupanga ratiba ya colonoscopy niliyopendekeza.,उस कोलोनोस्कोपी को शेड्यूल करना सुनिश्चित करें जिसे मैंने अनुशंसित किया था।,تأكد من جدولة تنظير القولون الذي أوصيت به.
Let's try steroid injections to reduce the inflammation.,మంటను తగ్గించడానికి స్టెరాయిడ్ ఇంజెక్షన్లను ప్రయత్నిద్దాం,Wacha tujaribu sindano za steroid ili kupunguza kuvimba.,आइए सूजन को कम करने के लिए स्टेरॉयड इंजेक्शन की कोशिश करें।,دعونا نحاول حقن الستيرويد للحد من الالتهاب.
What is your age?,మీ వయస్సు ఎంత?,Una umri gani?,तुम्हारी उम्र क्या है?,كم تبلغ من العمر؟
What is your height?,మీ ఎత్తు ఎంత?,Urefu wako ni nini?,आपकी ऊंचाई क्या है?,ما هو طولك؟
What is your weight?,మీ బరువు ఎంత?,Uzito wako ni nini?,आपका वजन क्या है?,ما هو وزنك؟
What is your blood pressure?,మీ రక్తపోటు ఎంత?,Shinikizo la damu ni nini?,आपका रक्तचाप क्या है?,ما هو ضغط دمك؟
What is your pulse rate?,మీ గుండెపోటు రేటు ఎంత?,Kiwango chako cha mapigo ya moyo ni nini?,आपकी पल्स रेट क्या है?,ما هو معدل النبض الخاص بك؟
What is your temperature?,మీ ఉష్ణోగ్రత ఎంత?,Hali ya joto yako ni nini?,आपका तापमान क्या है?,ما هي درجة حرارتك؟
What is your blood sugar level?,మీ రక్తంలో చక్కెర స్థాయి ఎంత?,Kiwango cha sukari kwenye damu yako ni nini?,आपका रक्त शर्करा का स्तर क्या है?,ما هو مستوى السكر في الدم؟
Do you smoke?,మీరు ధూమపానం చేస్తారా?,"Je, wewe ni sigara?",क्या आप धूम्रपान करते है?,هل تدخن؟
Do you drink alcohol?,మీరు మద్యం సేవిస్తారా?,"Je, unakunywa pombe?",क्या आप शराब पीते हैं?,هل تشرب الكحول؟
Do you have any allergies?,మీకు ఏవైనా అలెర్జీలు ఉన్నాయా?,Una allergy yoyote?,क्या आपको कोई एलर्जी है?,هل لديك أي حساسية؟
Have you had any recent surgeries?,మీకు ఇటీవల ఏవైనా శస్త్రచికిత్సలు అయ్యాయా?,Umewahi kufanyiwa upasuaji wa hivi karibuni?,क्या आपने हाल ही में कोई सर्जरी कराई है?,هل خضعت لأي عمليات جراحية مؤخرا؟
Are you taking any medications?,మీరు ఏవైనా మందులు తీసుకుంటున్నారా?,Unatumia dawa yoyote?,क्या आप कोई दवा ले रहे हैं?,هل تتناول أي أدوية؟
Do you have any medical conditions?,మీకు ఏవైనా వైద్య పరిస్థితులు ఉన్నాయా?,"Je, una hali yoyote ya matibabu?",क्या आपके पास कोई चिकित्सा स्थिति है?,هل لديك أي حالات طبية؟
Are you pregnant?,మీరు గర్భవతిగా ఉన్నారా?,"Je, wewe ni mjamzito?",क्या आप गर्भवती हैं?,هل أنت حامل؟
Are you breastfeeding?,మీరు తల్లిపాలు ఇస్తున్నారా?,"Je, wewe ni wa kunyonyesha?",क्या आप स्तनपान करा रहे हैं?,هل ترضعين طفلك رضاعة طبيعية؟
Do you have any family history of medical conditions?,మీ కుటుంబంలో ఏవైనా వైద్య పరిస్థితులకు చరిత్ర ఉందా?,"Je, una historia yoyote ya familia ya hali ya matibabu?",क्या आपके पास चिकित्सा स्थितियों का कोई पारिवारिक इतिहास है?,هل لديك أي تاريخ عائلي من الحالات الطبية؟
Do you have any questions for me?,నాకు ఏవైనా ప్రశ్నలు ఉన్నాయా?,"Je, una maswali yoyote kwa ajili yangu?",क्या आपके पास मेरे लिए कोई प्रश्न है?,هل لديك أي أسئلة لي؟
I have a rash.,నాకు దద్దుర్లు ఉన్నాయి.,Nina upele.,मेरे पास दाने हैं।,لدي طفح جلدي.
I have a cough.,నాకు దగ్గు ఉంది.,Nina kikohozi.,मुझे खांसी है।,لدي سعال.
I have a cold.,నాకు జలుబు ఉంది.,Nina homa ya mafua.,मुझे सर्दी हो गई है।,لديّ نزلة برد.
I have the flu.,నాకు ఫ్లూ ఉంది.,Nina mafua.,मुझे फ्लू हुआ है।,لديّ انفلونزا.
I have diarrhea.,నాకు విరేచనాలు ఉన్నాయి.,Nina ugonjwa wa kuendesha.,मुझे अतिसार हो गया है।,لديّ إسهال.
I have constipation.,నాకు మలబద్ధకం ఉంది.,Nina constipation.,मुझे कब्ज है।,أعاني من الإمساك.
I have nausea.,నాకు వికారం ఉంది.,Nina kichefuchefu.,मुझे मतली है।,أعاني من الغثيان.
I have vomiting.,నాకు వాంతులు వస్తున్నాయి.,Nina kutapika.,मुझे उल्टी हो रही है।,لدي قيء.
I have chest pain.,నాకు ఛాతీ నొప్పి ఉంది.,Nina maumivu ya kifua.,मुझे सीने में दर्द है।,أعاني من ألم في الصدر.
I have shortness of breath.,నాకు శ్వాస ఆడకపోతోంది.,Nina upungufu wa pumzi.,मुझे सांस लेने में तकलीफ है।,أعاني من ضيق في التنفس.
I have a heart attack.,నాకు గుండెపోటు వచ్చింది.,Nina mshtuko wa moyo.,मुझे दिल का दौरा पड़ा है।,لدي نوبة قلبية.
I have a stroke.,నాకు స్ట్రోక్ వచ్చింది.,Nina kiharusi.,मुझे स्ट्रोक आया है।,لدي سكتة دماغية.
I have cancer.,నాకు క్యాన్సర్ ఉంది.,Nina kansa.,मुझे कैंसर है।,أنا مصاب بالسرطان.
I have diabetes.,నాకు డయాబెటిస్ ఉంది.,Nina ugonjwa wa kisukari.,मुझे मधुमेह है।,أعاني من مرض السكري.
I have high blood pressure.,నాకు అధిక రక్తపోటు ఉంది.,Nina shinikizo la damu.,मुझे उच्च रक्तचाप है।,أعاني من ارتفاع ضغط الدم.
I have low blood pressure.,నాకు అల్ప రక్తపోటు ఉంది.,Nina shinikizo la chini la damu.,मुझे निम्न रक्तचाप है।,أعاني من انخفاض ضغط الدم.
I have an infection.,నాకు ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi.,मुझे संक्रमण है।,لدي عدوى.
I have a broken bone.,నాకు ఎముక విరిగింది.,Nina mfupa uliovunjika.,मेरी हड्डी टूट गई है।,لدي عظم مكسور.
I have a sprain.,నాకు మోకాలి వాపు ఉంది.,Mimi nina sprain.,मुझे मोच है।,لدي التواء.
I have a pulled muscle.,నాకు కండరాలు గాయపడ్డాయి.,Nina misuli iliyovutwa.,मेरे पास एक खींची हुई मांसपेशी है।,لدي عضلة مشدودة.
It is burning when urinating,మూత్ర విసర్జన చేసేటప్పుడు మంటగా ఉంది,Inawaka wakati wa kukojoa,पेशाब करते समय जलन होती है।,يحترق عند التبول
I have acne on my face.,నా ముఖంపై మొటిమలు ఉన్నాయి.,Nina acne juu ya uso wangu.,मेरे चेहरे पर मुहांसे हैं।,لدي حب الشباب على وجهي.
"The acne is whiteheads, blackheads, and pustules.","ఈ మొటిమలు వైట్‌హెడ్స్, బ్లాక్‌హెడ్స్ మరియు పుస్ట్యుల్స్.","acne ni vichwa vya nyeupe, vichwa vya nyeusi, na pustules.","मुँहासे व्हाइटहेड्स, ब्लैकहेड्स और मवाद हैं।",حب الشباب هو الرؤوس البيضاء والرؤوس السوداء والبثرات.
Have you been using any oil-based makeup or skin care products?,మీరు ఏవైనా నూనె-ఆధారిత మేకప్ లేదా చర్మ సంరక్షణ ఉత్పత్తులను ఉపయోగిస్తున్నారా?,"Je, umekuwa ukitumia bidhaa yoyote ya kutengeneza mafuta au huduma ya ngozi?",क्या आप किसी भी तेल आधारित मेकअप या त्वचा देखभाल उत्पादों का उपयोग कर रहे हैं?,هل كنت تستخدمين أي مكياج زيتي أو منتجات للعناية بالبشرة؟
I have hives on my skin.,నాకు చర్మంపై తామరలు ఉన్నాయి.,Nina mizinga kwenye ngozi yangu.,मेरी त्वचा पर पित्ती है।,لدي خلايا على جلدي.
"The hives are red, itchy, and raised.","ఈ తామరలు ఎరుపు, దురదృబాటు మరియు పెరిగి ఉన్నాయి.","Mizinga ni nyekundu, ya kusokota, na kuinuliwa.","छत्ते लाल, खुजलीदार और उभरे हुए होते हैं।",خلايا النحل حمراء وحكة ومرتفعة.
Have you been exposed to any new allergens?,మీరు ఏవైనా కొత్త అలెర్జీలకు గురయ్యారా?,"Je, umewahi kuwa na allergens mpya?",क्या आप किसी नए एलर्जी के संपर्क में आए हैं?,هل تعرضت لأي مسببات حساسية جديدة؟
I have a fungal infection on my skin.,నాకు చర్మంపై ఫంగల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya vimelea kwenye ngozi yangu.,मेरी त्वचा पर फंगल संक्रमण है।,لدي عدوى فطرية على بشرتي.
"The fungal infection is red, itchy, and flaky.","ఈ ఫంగల్ ఇన్ఫెక్షన్ ఎరుపు, దురదృబాటు మరియు పొలుసుగా ఉంటుంది.","Maambukizi ya vimelea ni nyekundu, ya itchy, na flaky.","फंगल संक्रमण लाल, खुजली और परतदार होता है।",العدوى الفطرية حمراء وحكة وقشارية.
Have you been using any shared towels or clothing?,మీరు ఏవైనా భాగస్వామ్య టవల్స్ లేదా బట్టలు ఉపయోగించారా?,Umewahi kutumia taulo au nguo zilizoshirikiwa?,क्या आप किसी भी साझा तौलिए या कपड़ों का उपयोग कर रहे हैं?,هل كنت تستخدم أي مناشف أو ملابس مشتركة؟
I have a viral infection on my skin.,నాకు చర్మంపై వైరల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya virusi kwenye ngozi yangu.,मेरी त्वचा पर एक वायरल संक्रमण है।,لدي عدوى فيروسية على بشرتي.
"The viral infection is red, painful, and blisters.","ఈ వైరల్ ఇన్ఫెక్షన్ ఎరుపు, నొప్పిగా ఉంటుంది మరియు బ్లిస్టర్లు ఉన్నాయి.","Maambukizi ya virusi ni nyekundu, chungu, na blisters.","वायरल संक्रमण लाल, दर्दनाक और फफोले है।",العدوى الفيروسية حمراء ومؤلمة وبثور.
Have you been in contact with anyone who has a viral infection?,మీరు వైరల్ ఇన్ఫెక్షన్ ఉన్న వ్యక్తితో కాంటాక్ట్లో ఉన్నారా?,Umewahi kuwasiliana na mtu yeyote ambaye ana maambukizi ya virusi?,क्या आप किसी ऐसे व्यक्ति के संपर्क में हैं जिसे वायरल संक्रमण है?,هل كنت على اتصال مع أي شخص مصاب بعدوى فيروسية؟
I have a bacterial infection on my skin.,నాకు చర్మంపై బ్యాక్టీరియల్ ఇన్ఫెక్షన్ ఉంది.,Nina maambukizi ya bakteria kwenye ngozi yangu.,मेरी त्वचा पर एक जीवाणु संक्रमण है।,لدي عدوى بكتيرية على بشرتي.
"The bacterial infection is red, swollen, and painful.","ఈ బ్యాక్టీరియల్ ఇన్ఫెక్షన్ ఎరుపు, వాపు మరియు నొప్పిగా ఉంటుంది.","Maambukizi ya bakteria ni nyekundu, kuvimba, na chungu.","जीवाणु संक्रमण लाल, सूजन और दर्दनाक है।",العدوى البكتيرية حمراء ومنتفخة ومؤلمة.
Have you been scratching or picking at your skin?,మీరు మీ చర్మాన్ని గీసుకుంటున్నారా లేదా తీస్తున్నారా?,Umekuwa ukipiga au kuokota ngozi yako?,क्या आप अपनी त्वचा को खरोंच रहे हैं या उठा रहे हैं?,هل كنت تخدش جلدك أو تقطفه؟
I have a sunburn.,నాకు సన్‌బర్న్ ఉంది.,Nina jua kali.,मुझे सनबर्न हुआ है।,لدي حروق شمس.
"The sunburn is red, painful, and blistering.","ఈ సన్‌బర్న్ ఎరుపు, నొప్పిగా ఉంటుంది మరియు బ్లిస్టర్లు ఉన్నాయి.","Jua ni nyekundu, chungu, na blistering.","सनबर्न लाल, दर्दनाक और तेज है।",حروق الشمس حمراء ومؤلمة ومتقرحة.
Have you been spending too much time in the sun?,మీరు ఎక్కువ సేపు సూర్యకాంతిలో గడుపుతున్నారా?,"Je, umekuwa ukitumia muda mwingi katika jua?",क्या आप धूप में बहुत अधिक समय बिताते हैं?,هل كنت تقضي الكثير من الوقت في الشمس؟
I have a wart on my finger.,నా వేలుపై మొట్టు ఉంది.,Nina chunusi kwenye kidole changu.,मेरी उंगली पर मस्सा है।,لدي ثؤلول على إصبعي.
"The wart is rough, dry, and raised.","ఈ మొట్టు గరుకుగా, పొడిగా మరియు పెరిగి ఉంది.","Kuku ni mbaya, kavu, na kuinuliwa.","मस्सा खुरदरा, सूखा और उभरा हुआ होता है।",الثؤلول خشن وجاف ومرتفع.
Have you been touching or picking at the wart?,మీరు ఈ మొట్టును తాకుతున్నారా లేదా తీస్తున్నారా?,"Je, umekuwa ukigusa au kuokota kwenye kitoweo?",क्या आप मस्से को छू रहे हैं या उठा रहे हैं?,هل كنت تلمس الثؤلول أو تلتقطه؟
I have a skin tag on my neck.,నా మెడమీద చర్మం ట్యాగ్ ఉంది.,Nina lebo ya ngozi kwenye shingo yangu.,मेरी गर्दन पर एक त्वचा टैग है।,لدي علامة جلدية على رقبتي.
"The skin tag is soft, fleshy, and hanging.","ఈ చర్మం ట్యాగ్ మృదువుగా, మాంసంలా మరియు వేలాడుతోంది.","Lebo ya ngozi ni laini, ya nyama, na kunyongwa.","त्वचा टैग नरम, मांसल और लटकता हुआ है।",الزوائد الجلدية ناعمة وسمينة ومعلقة.
I have a rash on my skin.,నాకు చర్మంపై దద్దుర్లు ఉన్నాయి.,Nina upele kwenye ngozi yangu.,मेरी त्वचा पर दाने हैं।,لدي طفح جلدي على جلدي.
How long have you had the rash?,ఈ దద్దుర్లు మీకు ఎంతకాలం నుండి ఉన్నాయి?,Umekuwa na upele kwa muda gani?,आपको कब से दाने हो रहे हैं?,منذ متى وأنت مصاب بالطفح الجلدي؟
The rash is itchy and red.,ఈ దద్దుర్లు దురదృబాటు కలిగించేవి మరియు ఎరుపు రంగులో ఉంటాయి.,Upele ni wa rangi na nyekundu.,दाने खुजली और लाल होते हैं।,الطفح الجلدي حكة وحمراء.
Have you used any new soaps or lotions recently?,మీరు ఇటీవల ఏవైనా కొత్త సబ్బులు లేదా లోషన్లు ఉపయోగించారా?,"Je, umewahi kutumia sabuni mpya au lotions hivi karibuni?",क्या आपने हाल ही में किसी नए साबुन या लोशन का उपयोग किया है?,هل استخدمت أي صابون أو مستحضرات جديدة مؤخرا؟
I don't know what caused the rash.,ఈ దద్దుర్లు ఏమిటి అని నాకు తెలియదు.,Sijui ni nini kilichosababisha ugonjwa huo.,मुझे नहीं पता कि दाने का कारण क्या था।,لا أعرف سبب الطفح الجلدي.
I have a pimple on my face.,నా ముఖంపై ఒక మొటిమ ఉంది.,Nina chunusi usoni mwangu.,मेरे चेहरे पर एक फुंसी है।,لدي بثرة على وجهي.
The pimple is red and painful.,ఈ మొటిమ ఎరుపు మరియు నొప్పిగా ఉంది.,Pimple ni nyekundu na chungu.,फुंसी लाल और दर्दनाक है।,البثرة حمراء ومؤلمة.
Have you been popping the pimple?,మీరు ఈ మొటిమను నొక్కి తీస్తున్నారా?,Umekuwa ukipiga pimple?,क्या आप पिंपल को पॉप कर रहे हैं?,هل كنت تفرقع البثرة؟
"No, I've been trying to leave it alone.","లేదు, నేను దానిని వదిలివేయడానికి ప్రయత్నిస్తున్నాను.","Hapana, nimekuwa nikijaribu kuondoka peke yangu.","नहीं, मैं इसे अकेला छोड़ने की कोशिश कर रहा हूं।",لا ، لقد كنت أحاول تركها وشأنها.
I have eczema on my hands.,నా చేతులపై ఎగ్జిమా ఉంది.,Nina eczema kwenye mikono yangu.,मेरे हाथों पर एक्जिमा है।,لدي الأكزيما على يدي.
"The eczema is dry, itchy, and red.","ఈ ఎగ్జిమా పొడి, దురదృబాటు మరియు ఎరుపు రంగులో ఉంటుంది.","Eczema ni kavu, yenye rangi na nyekundu.","एक्जिमा सूखा, खुजली और लाल है।",الأكزيما جافة وحكة وحمراء.
Have you been using any harsh soaps or detergents?,మీరు ఏవైనా కఠినమైన సబ్బులు లేదా డిటర్జెంట్లను ఉపయోగిస్తున్నారా?,Umewahi kutumia sabuni au sabuni kali?,क्या आप किसी कठोर साबुन या डिटर्जेंट का उपयोग कर रहे हैं?,هل كنت تستخدم أي صابون أو منظفات قاسية؟
"No, I've been using the same soap and detergent that I've always used.","లేదు, నేను ఎల్లప్పుడూ ఉపయోగించే అదే సబ్బు మరియు డిటర్జెంట్‌ను ఉపయోగిస్తున్నాను.","Hapana, nimekuwa nikitumia sabuni na sabuni sawa ambayo nimekuwa nikitumia kila wakati.","नहीं, मैं उसी साबुन और डिटर्जेंट का उपयोग कर रहा हूं जिसे मैंने हमेशा इस्तेमाल किया है।",لا ، لقد كنت أستخدم نفس الصابون والمنظفات التي استخدمتها دائما.
I have psoriasis on my scalp.,నా తలపై సోరియాసిస్ ఉంది.,Nina psoriasis kwenye scalp yangu.,मेरे खोपड़ी पर सोरायसिस है।,أعاني من الصدفية على فروة رأسي.
"The psoriasis is red, scaly, and itchy.","ఈ సోరియాసిస్ ఎరుపు, పొడు మరియు దురదృబాటు కలిగించేది.","psoriasis ni nyekundu, scaly, na itchy.","सोरायसिस लाल, पपड़ीदार और खुजली वाला होता है।",الصدفية حمراء ومتقشرة وحكة.
